"Time","System"
2023-02-05 17:37:45,0.178
2023-02-05 17:38:00,0.165
2023-02-05 17:38:15,0.181
2023-02-05 17:38:30,0.184
2023-02-05 17:38:45,0.194
2023-02-05 17:39:00,0.203
2023-02-05 17:39:15,0.206
2023-02-05 17:39:30,0.206
2023-02-05 17:39:45,0.213
2023-02-05 17:40:00,0.194
2023-02-05 17:40:15,0.251
2023-02-05 17:40:30,0.273
2023-02-05 17:40:45,0.279
2023-02-05 17:41:00,0.286
2023-02-05 17:41:15,0.289
2023-02-05 17:41:30,0.276
2023-02-05 17:41:45,0.286
2023-02-05 17:42:00,0.238
2023-02-05 17:42:15,0.248
2023-02-05 17:42:30,0.257
2023-02-05 17:42:45,0.381
2023-02-05 17:43:00,0.813
2023-02-05 17:43:15,0.981
2023-02-05 17:43:30,1.14
2023-02-05 17:43:45,2.10
2023-02-05 17:44:00,3.45
2023-02-05 17:44:15,3.67
2023-02-05 17:44:30,7.16
2023-02-05 17:44:45,7.18
2023-02-05 17:45:00,8.76
2023-02-05 17:45:15,10.2
2023-02-05 17:45:30,10.6
2023-02-05 17:45:45,11.3
2023-02-05 17:46:00,12.8
2023-02-05 17:46:15,11.5
2023-02-05 17:46:30,13.9
2023-02-05 17:46:45,15.3
2023-02-05 17:47:00,16.1
2023-02-05 17:47:15,17.1
2023-02-05 17:47:30,17.3
2023-02-05 17:47:45,18.0
2023-02-05 17:48:00,18.1
2023-02-05 17:48:15,17.9
2023-02-05 17:48:30,17.3
2023-02-05 17:48:45,17.4
2023-02-05 17:49:00,17.3
2023-02-05 17:49:15,17.4
2023-02-05 17:49:30,17.3
2023-02-05 17:49:45,17.1
2023-02-05 17:50:00,16.8
2023-02-05 17:50:15,17.0
2023-02-05 17:50:30,17.2
2023-02-05 17:50:45,17.2
2023-02-05 17:51:00,17.3
2023-02-05 17:51:15,17.4
2023-02-05 17:51:30,17.1
2023-02-05 17:51:45,17.6
2023-02-05 17:52:00,17.0
2023-02-05 17:52:15,15.9
2023-02-05 17:52:30,15.8
2023-02-05 17:52:45,15.0
2023-02-05 17:53:00,15.0
2023-02-05 17:53:15,14.2
2023-02-05 17:53:30,13.7
2023-02-05 17:53:45,14.1
2023-02-05 17:54:00,15.0
2023-02-05 17:54:15,14.9
2023-02-05 17:54:30,17.3
2023-02-05 17:54:45,18.8
2023-02-05 17:55:00,22.3
2023-02-05 17:55:15,22.9
2023-02-05 17:55:30,20.3
2023-02-05 17:55:45,18.0
2023-02-05 17:56:00,15.8
2023-02-05 17:56:15,11.7
2023-02-05 17:56:30,8.00
2023-02-05 17:56:45,3.24
2023-02-05 17:57:00,0.305
2023-02-05 17:57:15,0.302
2023-02-05 17:57:30,0.365
2023-02-05 17:57:45,0.683
2023-02-05 17:58:00,0.692

