"Time","sda_Read bytes"
2023-02-05 17:37:45,0
2023-02-05 17:38:00,0
2023-02-05 17:38:15,0
2023-02-05 17:38:30,0
2023-02-05 17:38:45,0
2023-02-05 17:39:00,0
2023-02-05 17:39:15,0
2023-02-05 17:39:30,0
2023-02-05 17:39:45,0
2023-02-05 17:40:00,0
2023-02-05 17:40:15,0
2023-02-05 17:40:30,0
2023-02-05 17:40:45,0
2023-02-05 17:41:00,0
2023-02-05 17:41:15,0
2023-02-05 17:41:30,0
2023-02-05 17:41:45,0
2023-02-05 17:42:00,0
2023-02-05 17:42:15,0
2023-02-05 17:42:30,0
2023-02-05 17:42:45,0
2023-02-05 17:43:00,1170
2023-02-05 17:43:15,1170
2023-02-05 17:43:30,1170
2023-02-05 17:43:45,32885
2023-02-05 17:44:00,32885
2023-02-05 17:44:15,32885
2023-02-05 17:44:30,34094
2023-02-05 17:44:45,32924
2023-02-05 17:45:00,32924
2023-02-05 17:45:15,32924
2023-02-05 17:45:30,1209
2023-02-05 17:45:45,1209
2023-02-05 17:46:00,1209
2023-02-05 17:46:15,0
2023-02-05 17:46:30,0
2023-02-05 17:46:45,0
2023-02-05 17:47:00,0
2023-02-05 17:47:15,0
2023-02-05 17:47:30,0
2023-02-05 17:47:45,0
2023-02-05 17:48:00,0
2023-02-05 17:48:15,0
2023-02-05 17:48:30,0
2023-02-05 17:48:45,0
2023-02-05 17:49:00,0
2023-02-05 17:49:15,0
2023-02-05 17:49:30,0
2023-02-05 17:49:45,0
2023-02-05 17:50:00,0
2023-02-05 17:50:15,0
2023-02-05 17:50:30,0
2023-02-05 17:50:45,0
2023-02-05 17:51:00,0
2023-02-05 17:51:15,0
2023-02-05 17:51:30,0
2023-02-05 17:51:45,0
2023-02-05 17:52:00,0
2023-02-05 17:52:15,0
2023-02-05 17:52:30,0
2023-02-05 17:52:45,0
2023-02-05 17:53:00,0
2023-02-05 17:53:15,0
2023-02-05 17:53:30,0
2023-02-05 17:53:45,0
2023-02-05 17:54:00,0
2023-02-05 17:54:15,0
2023-02-05 17:54:30,0
2023-02-05 17:54:45,0
2023-02-05 17:55:00,273
2023-02-05 17:55:15,2185
2023-02-05 17:55:30,2185
2023-02-05 17:55:45,2185
2023-02-05 17:56:00,2185
2023-02-05 17:56:15,2185
2023-02-05 17:56:30,2185
2023-02-05 17:56:45,1911
2023-02-05 17:57:00,0
2023-02-05 17:57:15,0
2023-02-05 17:57:30,0
2023-02-05 17:57:45,0
2023-02-05 17:58:00,0

